トマト,野菜,個
にんじん,野菜,個
ほうれん草,野菜,個
キャベツ,野菜,個
パプリカ,野菜,個
ブロッコリー,野菜,g
レッドキャベツ,野菜,個
セロリ,野菜,個
カリフラワー,野菜,個
ズッキーニ,野菜,個
バジル,野菜,個
コリアンダー,野菜,g
シイタケ,野菜,個
アボカド,野菜,個
キュウリ,野菜,個
レタス,野菜,個
キュウリ,野菜,個
豚ロース,肉,g
豚バラ,肉,g
豚ヒレ,肉,g
豚肩ロース,肉,g
豚もも肉,肉,g
鶏胸肉,肉,g
鶏もも肉,肉,g
鶏手羽元,肉,g
ソーセージ,肉,g
牛ロース,肉,g
牛バラ,肉,g
牛ヒレ,肉,g
牛脂,肉,個
牛豚合びき肉,肉,g
サバ,魚,g
カツオ,魚,g
サンマ,魚,g
鯛,魚,g
イワシ,魚,g
鮭,魚,g
卵,卵・乳製品,個
牛乳,卵・乳製品,ml
ヨーグルト,卵・乳製品,g
チーズ,卵・乳製品,g
ホイップクリーム,卵・乳製品,g
バター,卵・乳製品,g
ソイソース,調味料,ml
ケチャップ,調味料,ml
オリーブオイル,調味料,ml
塩,調味料,g
砂糖,調味料,g
胡椒,調味料,g
りんご,果物,個
バナナ,果物,個
イチゴ,果物,個
オレンジ,果物,個
ブルーベリー,果物,個
キウイ,果物,個
パイナップル,果物,個
マンゴー,果物,個
グレープフルーツ,果物,個
レモン,果物,個